대해구 번호,경도,위도
1530,138.25,30.75
1531,138.75,30.75
1532,139.25,30.75
1533,139.75,30.75
1544,138.25,30.25
1545,138.75,30.25
1546,139.25,30.25
1547,139.75,30.25
1558,138.25,29.75
1559,138.75,29.75
1560,139.25,29.75
1561,139.75,29.75
1572,138.25,29.25
1573,138.75,29.25
1574,139.25,29.25
1575,139.75,29.25
1586,138.25,28.75
1587,138.75,28.75
1588,139.25,28.75
1589,139.75,28.75
1600,138.25,28.25
1601,138.75,28.25
1602,139.25,28.25
1603,139.75,28.25
1614,138.25,27.75
1615,138.75,27.75
1616,139.25,27.75
1617,139.75,27.75
1628,138.25,27.25
1629,138.75,27.25
1630,139.25,27.25
1631,139.75,27.25
1642,138.25,26.75
1643,138.75,26.75
1644,139.25,26.75
1645,139.75,26.75
1656,138.25,26.25
1657,138.75,26.25
1658,139.25,26.25
1659,139.75,26.25
1670,138.25,25.75
1671,138.75,25.75
1672,139.25,25.75
1673,139.75,25.75
1684,138.25,25.25
1685,138.75,25.25
1686,139.25,25.25
1687,139.75,25.25
5021,127.75,40.25
5022,128.25,40.25
5038,127.25,39.25
5047,127.75,38.75
5055,128.25,38.25
5087,129.25,35.75
5097,127.75,35.25
5098,128.25,35.25
5099,128.75,35.25
5118,124.75,39.75
5124,125.25,39.75
5130,125.25,38.75
5131,125.75,38.75
5137,125.25,38.25
5138,125.75,38.25
5146,126.25,37.75
5147,126.75,37.75
5154,126.75,37.25
5164,126.75,36.75
5174,126.75,36.25
5184,126.75,35.75
5213,126.75,34.75
5214,127.25,34.75
6005,119.75,40.25
6058,119.25,35.25
6062,119.25,34.75
6066,119.75,34.25
6076,120.25,32.25
6077,120.75,32.25
6119,122.25,39.25
6137,121.25,37.25
6154,120.75,36.75
6155,121.25,36.75
6454,120.25,31.75
6455,120.75,31.75
6456,121.25,31.75
6457,121.75,31.75
6486,121.25,31.25
6487,121.75,31.25
6602,120.25,30.25
6603,120.75,30.25
6660,119.75,26.75
6670,119.75,26.25
6680,119.25,25.75
6681,119.75,25.75
6690,119.25,25.25
6691,119.75,25.25
6901,120.75,40.75
6902,121.25,40.75
6903,121.75,40.75
6904,122.25,40.75
6905,120.25,40.25
6906,120.75,40.25
6907,121.25,40.25
6908,121.75,40.25
6909,122.25,40.25
6910,119.25,39.75
6911,119.75,39.75
6912,120.25,39.75
6913,120.75,39.75
6914,121.25,39.75
6915,121.75,39.75
6916,122.75,39.75
6918,119.25,39.25
6919,119.75,39.25
6920,120.25,39.25
6921,120.75,39.25
6922,121.25,39.25
6923,121.75,39.25
6928,119.25,38.75
6929,119.75,38.75
6930,120.25,38.75
6931,120.75,38.75
6932,121.25,38.75
6933,121.75,38.75
6937,119.25,38.25
6938,119.75,38.25
6939,120.25,38.25
6940,120.75,38.25
6941,121.25,38.25
6943,119.25,37.75
6944,119.75,37.75
6945,120.25,37.75
6946,120.75,37.75
6947,121.25,37.75
6948,119.25,37.25
6949,119.75,37.25
6950,120.25,37.25
6951,120.25,36.25
6952,120.75,36.25
6953,121.25,36.25
6954,119.75,35.75
6955,120.25,35.75
6956,120.75,35.75
6957,121.25,35.75
6958,119.75,35.25
6959,120.25,35.25
6960,120.75,35.25
6961,121.25,35.25
6962,119.75,34.75
6963,120.25,34.75
6964,120.75,34.75
6965,121.25,34.75
6966,120.25,34.25
6967,120.75,34.25
6968,121.25,34.25
6969,120.25,33.75
6970,120.75,33.75
6971,121.25,33.75
6972,120.75,33.25
6973,121.25,33.25
6974,120.75,32.75
6975,121.25,32.75
6976,121.75,32.75
6977,121.25,32.25
6978,121.75,32.25
8101,134.25,43.25
8102,134.75,43.25
8103,135.25,43.25
8104,135.75,43.25
8105,136.25,43.25
8106,136.75,43.25
8107,137.25,43.25
8108,137.75,43.25
8109,138.25,43.25
8110,138.75,43.25
8111,139.25,43.25
8112,139.75,43.25
8113,135.25,43.75
8114,135.75,43.75
8115,136.25,43.75
8116,136.75,43.75
8117,137.25,43.75
8118,137.75,43.75
8119,138.25,43.75
8120,138.75,43.75
8121,139.25,43.75
8122,139.75,43.75
8123,135.75,44.25
8124,136.25,44.25
8125,136.75,44.25
8126,137.25,44.25
8127,137.75,44.25
8128,138.25,44.25
8129,138.75,44.25
8130,139.25,44.25
8131,139.75,44.25
8132,136.25,44.75
8133,136.75,44.75
8134,137.25,44.75
8135,137.75,44.75
8136,138.25,44.75
8137,138.75,44.75
8138,139.25,44.75
8139,139.75,44.75
